Semester,Subject,Marks Achieved,Total Marks,SGPA,CGPA,Exam Pass Year
Semester 1,ENGINEERING CHEMISTRY,174,200,10,10,NOV/DEC-2020
Semester 1,ENVIRONMENTAL SCIENCE,83,100,10,10,NOV/DEC-2020
Semester 1,SOLID WASTE MANAGEMENT,87,100,10,10,NOV/DEC-2020
Semester 1,TECHNICAL COMMUNICATION,161,200,10,10,NOV/DEC-2020
Semester 1,CALCULUS,91,100,10,10,NOV/DEC-2020
Semester 1,ENGINEERING GRAPHICS,83,100,10,10,NOV/DEC-2020
Semester 1,WORKSHOP PRACTICE,85,100,10,10,NOV/DEC-2020
Semester 2,PROGRAMMING FOR PROBLEM SOLVING,174,200,9.45,9.7,MAY/JUN-2021
Semester 2,BUSINESS COMMUNICATION AND PRESENTATION SKILLS,83,100,9.45,9.7,MAY/JUN-2021
Semester 2,DIFFERENTIAL EQUATION AND LINEAR ALGEBRA,87,100,9.45,9.7,MAY/JUN-2021
Semester 2,ENGINEERING GRAPHICS,161,200,9.45,9.7,MAY/JUN-2021
Semester 2,WORKSHOP PRACTICE,91,100,9.45,9.7,MAY/JUN-2021
Semester 2,ENGINEERING PHYSICS,83,100,9.45,9.7,MAY/JUN-2021
Semester 2,INDIAN KNOWLEDGE SYSTEM,85,100,9.45,9.7,MAY/JUN-2021
Semester 3,OBJECT ORIENTED CONCEPTS WITH UML,171,200,9.82,9.75,NOV/DEC-2021
Semester 3,DATABASE MANAGEMENT SYSTEM,152,200,9.82,9.75,NOV/DEC-2021
Semester 3,INTERNSHIP CREDIT,78,100,9.82,9.75,NOV/DEC-2021
Semester 3,COMPUTER ORGANIZATION & ARCHITECTURE,152,200,9.82,9.75,NOV/DEC-2021
Semester 3,DIGITAL ELECTRONICS,82,100,9.82,9.75,NOV/DEC-2021
Semester 3,BASICS OF PROBABILITY STATISTICS & NUMERICAL METHODS,160,200,9.82,9.75,NOV/DEC-2021
Semester 3,HUMAN VALUES AND PROFESSIONAL ETHICS,77,100,9.82,9.75,NOV/DEC-2021
Semester 4,DATA STRUCTURE & ALGORITHMS,190,200,9.73,9.74,MAY/JUN-2022
Semester 4,OPERATING SYSTEM,186,200,9.73,9.74,MAY/JUN-2022
Semester 4,CORE JAVA PROGRAMMING,189,200,9.73,9.74,MAY/JUN-2022
Semester 4,MANAGEMENT FOR ENGINEERS,92,100,9.73,9.74,MAY/JUN-2022
Semester 4,SOLAR AND WIND ENERGY SYSTEM,73,100,9.73,9.74,MAY/JUN-2022
Semester 4,ENERGY MANAGEMENT,75,100,9.73,9.74,MAY/JUN-2022
Semester 4,ICT TOOLS AND TECHNOLOGY,95,100,9.73,9.74,MAY/JUN-2022
Semester 5,DESIGN AND ANALYSIS OF ALGORITHMS,188,200,10,9.8,NOV/DEC-2022
Semester 5,COMPUTER NETWORKS,172,200,10,9.8,NOV/DEC-2022
Semester 5,PROGRAMMING FOR SCIENTIFIC COMPUTING,184,200,10,9.8,NOV/DEC-2022
Semester 5,WEB TECHNOLOGY,174,200,10,9.8,NOV/DEC-2022
Semester 5,ADVANCE MICROPROCESSOR,183,200,10,9.8,NOV/DEC-2022
Semester 5,INTERNSHIP CREDIT,90,100,10,9.8,NOV/DEC-2022
Semester 6,INTERNET OF THINGS,169,200,10,9.84,MAY/JUN-2023
Semester 6,DATA SCIENCE,164,200,10,9.84,MAY/JUN-2023
Semester 6,MOBILE APPLICATION DEVELOPMENT,177,200,10,9.84,MAY/JUN-2023
Semester 6,CRYPTOGRAPHY AND NETWORK SECURITY,172,200,10,9.84,MAY/JUN-2023
Semester 6,SOFTWARE ENGINEERING & PROJECT MANAGEMENT,183,200,10,9.84,MAY/JUN-2023
Semester 6,DATA PREPARATION & ANALYSIS,181,200,10,9.84,MAY/JUN-2023
Semester 7,FORMAL LANGUAGE AND AUTOMATA THEORY,73,100,9.8,9.83,NOV/DEC-2023
Semester 7,NATURAL LANGUAGE PROCESSING,83,100,9.8,9.83,NOV/DEC-2023
Semester 7,SOFTWARE GROUP PROJECT,92,100,9.8,9.83,NOV/DEC-2023
Semester 7,MACHINE LEARNING,179,200,9.8,9.83,NOV/DEC-2023
Semester 7,SOFT COMPUTING,178,200,9.8,9.83,NOV/DEC-2023
Semester 7,INTERNSHIP CREDIT,90,100,9.8,9.83,NOV/DEC-2023
Semester 8,PROJECT,83,100,10,9.84,MAY/JUN-2024
